iter	Passed	Remaining
0	210	20883
1	214	10496
2	217	7031
3	220	5294
4	223	4251
5	227	3560
6	230	3059
7	232	2679
8	235	2384
9	238	2148
10	241	1954
11	244	1794
12	247	1655
13	250	1536
14	252	1433
15	255	1342
16	258	1262
17	261	1190
18	264	1127
19	267	1068
20	270	1016
21	273	969
22	276	924
23	278	882
24	281	845
25	284	809
26	287	777
27	290	746
28	292	716
29	295	689
30	298	663
31	300	639
32	303	616
33	306	595
34	309	574
35	312	555
36	315	536
37	318	518
38	320	501
39	323	485
40	326	469
41	328	454
42	332	440
43	335	426
44	338	413
45	341	400
46	344	388
47	347	376
48	351	365
49	354	354
50	358	344
51	361	333
52	365	323
53	368	313
54	370	303
55	374	293
56	376	284
57	379	274
58	382	265
59	385	256
60	387	248
61	391	239
62	394	231
63	396	223
64	448	241
65	457	235
66	463	228
67	473	222
68	478	215
69	485	207
70	489	199
71	493	191
72	499	184
73	502	176
74	507	169
75	512	161
76	515	153
77	518	146
78	522	138
79	527	131
80	530	124
81	533	117
82	538	110
83	542	103
84	545	96
85	548	89
86	552	82
87	555	75
88	559	69
89	563	62
90	567	56
91	571	49
92	574	43
93	577	36
94	580	30
95	584	24
96	587	18
97	590	12
98	593	5
99	598	0
