iter	RMSE
0	16.16596256
1	15.70967918
2	15.41315785
3	15.25048208
4	14.91211098
5	14.60889425
6	14.24303655
7	14.06346854
8	13.85076757
9	13.69911426
10	13.60987873
11	13.45021401
12	13.25327928
13	13.17404039
14	13.03186422
15	12.90505323
16	12.799731
17	12.71756392
18	12.51557728
19	12.36566673
20	12.32941337
21	12.2093461
22	12.14705002
23	11.89414234
24	11.74063543
25	11.584433
26	11.51140588
27	11.41644589
28	11.36401761
29	11.25358493
30	11.15221348
31	11.06191061
32	11.00609669
33	10.83583781
34	10.60920044
35	10.46669548
36	10.3742912
37	10.2824496
38	10.18944328
39	10.05268319
40	9.848649595
41	9.829785118
42	9.732337381
43	9.580198664
44	9.561891207
45	9.537412758
46	9.417803249
47	9.287326463
48	9.273860399
49	9.172456653
50	9.118434508
51	9.058324077
52	9.014775377
53	8.908073932
54	8.886626689
55	8.844870499
56	8.805132215
57	8.695017447
58	8.680687094
59	8.559946808
60	8.453488716
61	8.332723946
62	8.289256178
63	8.191662944
64	8.144381155
65	8.029897172
66	7.94327981
67	7.841726511
68	7.791128672
69	7.691217282
70	7.593726557
71	7.481600302
72	7.469757016
73	7.381732015
74	7.35986288
75	7.282171576
76	7.247501727
77	7.183758486
78	7.123605346
79	7.077215657
80	7.06911109
81	7.030856638
82	6.962207511
83	6.948871056
84	6.892382632
85	6.839675151
86	6.807200784
87	6.801063713
88	6.743592321
89	6.65146365
90	6.589503357
91	6.486153953
92	6.456351493
93	6.450735006
94	6.449630133
95	6.435842831
96	6.38131747
97	6.303811753
98	6.245607044
99	6.161674296
