iter	Passed	Remaining
0	142	14154
1	150	7371
2	156	5050
3	162	3910
4	169	3228
5	173	2713
6	176	2343
7	180	2072
8	183	1856
9	189	1702
10	202	1640
11	213	1564
12	218	1463
13	221	1361
14	224	1272
15	227	1195
16	230	1125
17	233	1065
18	236	1009
19	240	962
20	243	914
21	245	871
22	249	835
23	252	799
24	255	766
25	258	735
26	260	705
27	264	680
28	268	656
29	271	633
30	274	609
31	276	588
32	280	568
33	283	550
34	286	531
35	288	513
36	291	496
37	295	482
38	298	466
39	301	451
40	304	437
41	306	423
42	311	413
43	315	400
44	317	388
45	320	376
46	323	365
47	326	353
48	329	342
49	332	332
50	335	322
51	338	312
52	341	302
53	344	293
54	347	283
55	349	274
56	352	266
57	355	257
58	358	248
59	360	240
60	363	232
61	366	224
62	369	216
63	371	209
64	374	201
65	377	194
66	379	187
67	382	180
68	385	173
69	388	166
70	390	159
71	393	153
72	396	146
73	399	140
74	402	134
75	406	128
76	409	122
77	411	116
78	415	110
79	418	104
80	420	98
81	423	92
82	426	87
83	429	81
84	433	76
85	436	71
86	439	65
87	442	60
88	446	55
89	449	49
90	452	44
91	455	39
92	459	34
93	462	29
94	465	24
95	468	19
96	471	14
97	474	9
98	478	4
99	481	0
