iter	RMSE
0	0.9865262561
1	0.9793437746
2	0.9733333271
3	0.9671467531
4	0.957636489
5	0.9526264036
6	0.9447517732
7	0.9397425126
8	0.9324966805
9	0.9271860409
10	0.9239272092
11	0.9213947334
12	0.917200034
13	0.9143784797
14	0.9104570996
15	0.9088112071
16	0.9051291218
17	0.9021890671
18	0.8989420496
19	0.8970971552
20	0.8949949694
21	0.891421566
22	0.8887473241
23	0.8833728567
24	0.8803698565
25	0.877137869
26	0.8739144186
27	0.8698942345
28	0.865879831
29	0.8630469099
30	0.8594961921
31	0.8578418416
32	0.8552844552
33	0.8518702137
34	0.8485736508
35	0.844851835
36	0.8416179932
37	0.8393863989
38	0.8370699232
39	0.8344538355
40	0.8317880039
41	0.8273144843
42	0.8251597151
43	0.8224069443
44	0.8204670682
45	0.8179385681
46	0.8148340637
47	0.8135579604
48	0.8095816889
49	0.8078058589
50	0.8033003892
51	0.8007686463
52	0.7987524141
53	0.796175543
54	0.7934272678
55	0.7910626304
56	0.7877590569
57	0.7848415619
58	0.783401889
59	0.7807613663
60	0.7781619305
61	0.776707714
62	0.7729549968
63	0.7697983901
64	0.7686063063
65	0.764777234
66	0.7628461624
67	0.7616118652
68	0.7589955231
69	0.7551301612
70	0.7532911318
71	0.7510801962
72	0.748772821
73	0.7470111625
74	0.7442358177
75	0.7429260734
76	0.7408308479
77	0.7396740161
78	0.7383010979
79	0.7368451331
80	0.7352957782
81	0.7336792623
82	0.7312456472
83	0.7288704642
84	0.7274786956
85	0.7253679872
86	0.7244830283
87	0.7209620636
88	0.7190371737
89	0.7181556734
90	0.7170186735
91	0.7156580799
92	0.714016221
93	0.7121667281
94	0.7107785324
95	0.7088274375
96	0.7067121468
97	0.705190877
98	0.703090693
99	0.7020714432
