iter	Passed	Remaining
0	176	17431
1	182	8920
2	186	6044
3	191	4603
4	240	4565
5	249	3903
6	253	3363
7	257	2966
8	263	2666
9	268	2417
10	272	2204
11	276	2030
12	280	1879
13	285	1751
14	289	1639
15	293	1542
16	298	1455
17	301	1375
18	307	1312
19	311	1247
20	316	1189
21	320	1136
22	325	1088
23	329	1042
24	333	1000
25	338	962
26	342	926
27	346	891
28	351	859
29	355	828
30	359	800
31	364	774
32	369	750
33	373	725
34	377	701
35	382	680
36	391	666
37	400	653
38	406	635
39	412	618
40	422	608
41	430	594
42	517	685
43	522	665
44	527	645
45	532	625
46	538	607
47	543	589
48	549	571
49	554	554
50	560	538
51	565	522
52	571	506
53	576	491
54	580	475
55	587	461
56	595	449
57	603	437
58	609	423
59	617	411
60	624	399
61	628	385
62	636	373
63	640	360
64	646	348
65	652	336
66	657	323
67	664	312
68	669	300
69	673	288
70	706	288
71	711	276
72	716	264
73	720	253
74	724	241
75	729	230
76	733	219
77	737	208
78	741	197
79	745	186
80	750	175
81	754	165
82	758	155
83	762	145
84	767	135
85	771	125
86	775	115
87	780	106
88	787	97
89	793	88
90	800	79
91	807	70
92	814	61
93	822	52
94	828	43
95	836	34
96	842	26
97	849	17
98	856	8
99	864	0
