iter	Passed	Remaining
0	146	14520
1	150	7352
2	153	4956
3	156	3753
4	159	3038
5	163	2556
6	166	2214
7	170	1955
8	174	1761
9	179	1615
10	183	1482
11	186	1370
12	190	1276
13	195	1201
14	199	1129
15	203	1069
16	208	1016
17	211	961
18	213	911
19	216	867
20	220	830
21	223	793
22	227	760
23	229	727
24	233	699
25	236	673
26	239	647
27	242	624
28	245	602
29	249	581
30	253	563
31	257	546
32	259	527
33	263	510
34	266	495
35	269	479
36	273	465
37	276	450
38	279	437
39	283	424
40	285	411
41	289	399
42	292	387
43	295	376
44	298	364
45	301	353
46	304	343
47	307	333
48	310	323
49	313	313
50	315	303
51	318	294
52	321	285
53	324	276
54	327	267
55	329	259
56	332	250
57	335	242
58	338	235
59	341	227
60	344	220
61	347	212
62	350	205
63	353	198
64	356	191
65	358	184
66	361	178
67	364	171
68	367	165
69	370	158
70	373	152
71	376	146
72	379	140
73	381	134
74	384	128
75	387	122
76	390	116
77	393	110
78	395	105
79	398	99
80	401	94
81	404	88
82	406	83
83	412	78
84	415	73
85	419	68
86	423	63
87	428	58
88	430	53
89	433	48
90	437	43
91	441	38
92	444	33
93	447	28
94	450	23
95	453	18
96	457	14
97	460	9
98	463	4
99	467	0
