iter	Passed	Remaining
0	194	19282
1	226	11118
2	250	8083
3	263	6320
4	278	5282
5	289	4541
6	302	4012
7	316	3635
8	329	3327
9	343	3087
10	357	2894
11	369	2711
12	382	2559
13	394	2425
14	409	2321
15	425	2235
16	438	2142
17	454	2071
18	471	2011
19	487	1950
20	505	1900
21	517	1834
22	529	1774
23	542	1717
24	554	1663
25	566	1613
26	579	1565
27	592	1522
28	603	1478
29	618	1443
30	634	1411
31	650	1383
32	671	1364
33	687	1334
34	704	1307
35	721	1282
36	737	1255
37	749	1222
38	764	1195
39	776	1164
40	788	1135
41	802	1108
42	814	1080
43	832	1059
44	846	1034
45	863	1013
46	881	994
47	902	977
48	926	964
49	941	941
50	958	920
51	974	899
52	989	877
53	1004	855
54	1018	833
55	1033	812
56	1051	793
57	1066	772
58	1080	750
59	1095	730
60	1109	709
61	1123	688
62	1138	668
63	1153	648
64	1168	629
65	1182	609
66	1195	588
67	1241	584
68	1254	563
69	1269	544
70	1286	525
71	1302	506
72	1321	488
73	1337	470
74	1352	450
75	1367	431
76	1380	412
77	1395	393
78	1409	374
79	1421	355
80	1436	336
81	1448	317
82	1463	299
83	1476	281
84	1491	263
85	1506	245
86	1519	227
87	1536	209
88	1550	191
89	1565	173
90	1580	156
91	1596	138
92	1612	121
93	1627	103
94	1641	86
95	1655	68
96	1668	51
97	1684	34
98	1700	17
99	1718	0
