iter	Passed	Remaining
0	157	15620
1	174	8550
2	190	6171
3	207	4983
4	224	4259
5	240	3760
6	256	3406
7	273	3141
8	289	2923
9	304	2743
10	320	2590
11	333	2447
12	347	2327
13	361	2220
14	377	2140
15	393	2067
16	408	1995
17	421	1921
18	437	1864
19	451	1807
20	466	1754
21	480	1703
22	495	1659
23	508	1611
24	518	1555
25	533	1518
26	546	1477
27	560	1440
28	572	1401
29	591	1379
30	605	1347
31	625	1328
32	646	1312
33	664	1290
34	682	1267
35	698	1242
36	712	1212
37	726	1184
38	741	1159
39	753	1130
40	765	1102
41	781	1078
42	795	1054
43	811	1033
44	827	1011
45	843	990
46	864	974
47	882	956
48	903	940
49	917	917
50	935	899
51	953	879
52	971	861
53	992	845
54	1006	823
55	1022	803
56	1041	785
57	1057	765
58	1074	746
59	1094	729
60	1109	709
61	1125	689
62	1141	670
63	1155	649
64	1169	629
65	1184	610
66	1197	589
67	1210	569
68	1225	550
69	1240	531
70	1257	513
71	1275	495
72	1294	478
73	1315	462
74	1330	443
75	1349	426
76	1366	408
77	1379	389
78	1394	370
79	1406	351
80	1422	333
81	1440	316
82	1454	297
83	1473	280
84	1494	263
85	1509	245
86	1530	228
87	1547	210
88	1563	193
89	1580	175
90	1594	157
91	1610	140
92	1627	122
93	1642	104
94	1656	87
95	1673	69
96	1688	52
97	1708	34
98	1722	17
99	1739	0
