iter	Logloss
0	0.5430460721
1	0.4436622179
2	0.3732824659
3	0.3223246715
4	0.2814506905
5	0.2524798743
6	0.2284904357
7	0.2097940966
8	0.1958393264
9	0.1859004954
10	0.1777920485
11	0.1699109006
12	0.1635232176
13	0.1578564444
14	0.1541379029
15	0.1512804319
16	0.1484051579
17	0.1467525716
18	0.1454313106
19	0.1441755126
20	0.1422203503
21	0.1416381177
22	0.1406226658
23	0.1397704261
24	0.139357111
25	0.1380044415
26	0.1365376398
27	0.1360171876
28	0.1353044902
29	0.1339340166
30	0.1334443935
31	0.1326673992
32	0.1323426172
33	0.1318214184
34	0.1310746396
35	0.1307158352
36	0.1296802421
37	0.1293790603
38	0.1286139476
39	0.1283672046
40	0.1280604001
41	0.127746035
42	0.1271709782
43	0.1268045119
44	0.126382316
45	0.1260926464
46	0.12564561
47	0.1243271959
48	0.1238048671
49	0.1224053526
50	0.1220850381
51	0.1217786253
52	0.1215262957
53	0.1213160525
54	0.1205619034
55	0.1203202651
56	0.1200951438
57	0.1198948225
58	0.1193753693
59	0.1192046555
60	0.1181985977
61	0.1180002079
62	0.1178127188
63	0.1175103956
64	0.1165515475
65	0.1163790543
66	0.1161206391
67	0.115862624
68	0.11556957
69	0.1154410342
70	0.1151913377
71	0.1147168225
72	0.1143472748
73	0.114167936
74	0.1137523972
75	0.1133620559
76	0.1130535069
77	0.1129300148
78	0.1128370832
79	0.1124147638
80	0.1122740693
81	0.1121090689
82	0.1117624897
83	0.1116453288
84	0.1110563889
85	0.110877081
86	0.1106270141
87	0.1105111971
88	0.1099473252
89	0.1092484282
90	0.1090551027
91	0.1088619152
92	0.1087026632
93	0.1083476995
94	0.1081254369
95	0.1080385716
96	0.107821478
97	0.1075416936
98	0.1068520537
99	0.1067619802
