iter	Passed	Remaining
0	353	34971
1	556	27275
2	756	24463
3	940	22561
4	1150	21860
5	1336	20942
6	1549	20584
7	1721	19794
8	1918	19393
9	2117	19059
10	2301	18619
11	2525	18521
12	2706	18111
13	2931	18009
14	3122	17692
15	3303	17342
16	3476	16974
17	3703	16869
18	3917	16701
19	4095	16382
20	4325	16272
21	4491	15925
22	4663	15612
23	4902	15525
24	5144	15434
25	5358	15251
26	5594	15125
27	5769	14834
28	5976	14631
29	6189	14441
30	6371	14182
31	6535	13887
32	6704	13611
33	6862	13322
34	7058	13108
35	7236	12864
36	7397	12596
37	7601	12401
38	7804	12206
39	7969	11954
40	8211	11817
41	8383	11577
42	8564	11353
43	8718	11096
44	8923	10906
45	9089	10669
46	9276	10461
47	9456	10244
48	9657	10051
49	9834	9834
50	10008	9616
51	10185	9402
52	10381	9206
53	10565	8999
54	10736	8784
55	10920	8580
56	11123	8391
57	11295	8179
58	11507	7996
59	11731	7820
60	11900	7608
61	12121	7429
62	12343	7249
63	12547	7057
64	12736	6858
65	12968	6680
66	13155	6479
67	13332	6274
68	13488	6060
69	13683	5864
70	13852	5657
71	14020	5452
72	14187	5247
73	14355	5043
74	14553	4851
75	14756	4659
76	14963	4469
77	15138	4269
78	15357	4082
79	15517	3879
80	15705	3683
81	15884	3486
82	16121	3301
83	16350	3114
84	16518	2915
85	16677	2714
86	16842	2516
87	17036	2323
88	17231	2129
89	17427	1936
90	17648	1745
91	17858	1552
92	18084	1361
93	18310	1168
94	18543	975
95	18760	781
96	18932	585
97	19146	390
98	19330	195
99	19533	0
