iter	Passed	Remaining
0	180	17909
1	190	9319
2	196	6348
3	200	4823
4	205	3909
5	211	3309
6	215	2867
7	220	2530
8	223	2263
9	226	2042
10	229	1858
11	232	1706
12	235	1578
13	239	1468
14	242	1371
15	245	1287
16	248	1211
17	251	1143
18	254	1082
19	256	1027
20	259	977
21	262	931
22	265	889
23	268	850
24	271	814
25	274	781
26	277	749
27	280	720
28	283	693
29	286	667
30	289	643
31	291	620
32	294	598
33	297	578
34	300	558
35	303	539
36	306	521
37	309	505
38	312	488
39	315	473
40	318	458
41	321	443
42	324	429
43	327	416
44	329	403
45	332	390
46	335	378
47	338	367
48	341	355
49	344	344
50	347	333
51	350	323
52	353	313
53	356	303
54	358	293
55	361	284
56	364	274
57	367	266
58	370	257
59	373	248
60	376	240
61	379	232
62	382	224
63	385	216
64	388	209
65	392	202
66	395	194
67	398	187
68	401	180
69	405	173
70	408	166
71	411	160
72	414	153
73	419	147
74	421	140
75	425	134
76	428	128
77	431	121
78	435	115
79	438	109
80	441	103
81	445	97
82	448	91
83	451	86
84	454	80
85	458	74
86	461	68
87	464	63
88	467	57
89	471	52
90	474	46
91	478	41
92	481	36
93	483	30
94	487	25
95	490	20
96	493	15
97	496	10
98	499	5
99	502	0
