iter	Passed	Remaining
0	151	15017
1	156	7673
2	161	5213
3	165	3972
4	169	3229
5	174	2730
6	178	2371
7	183	2105
8	187	1896
9	192	1730
10	196	1592
11	200	1471
12	204	1369
13	209	1287
14	214	1214
15	218	1149
16	223	1091
17	228	1043
18	234	1001
19	240	960
20	244	920
21	251	890
22	256	857
23	260	824
24	266	800
25	272	775
26	276	747
27	283	728
28	288	705
29	291	681
30	297	662
31	302	643
32	306	623
33	311	605
34	315	586
35	319	568
36	323	551
37	328	536
38	332	520
39	336	505
40	340	490
41	344	476
42	348	462
43	352	448
44	356	435
45	360	423
46	364	410
47	368	398
48	372	387
49	376	376
50	379	365
51	383	354
52	387	344
53	392	334
54	396	324
55	399	314
56	403	304
57	408	295
58	412	286
59	416	277
60	422	270
61	427	261
62	430	252
63	436	245
64	440	237
65	445	229
66	450	221
67	455	214
68	458	206
69	463	198
70	469	191
71	473	184
72	478	177
73	484	170
74	488	162
75	493	155
76	499	149
77	502	141
78	507	134
79	512	128
80	517	121
81	521	114
82	525	107
83	529	100
84	533	94
85	537	87
86	541	80
87	546	74
88	550	67
89	554	61
90	557	55
91	562	48
92	567	42
93	570	36
94	574	30
95	579	24
96	583	18
97	587	11
98	591	5
99	595	0
